rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
1030,treatment,16,59,33,spacy,0,non-informative,,,,,[183E-F] (3) The treatment of the Oil and Natural Gas Commission as a public utility undertaking for the supply of gas will raise innumerable basic questions totally inconsistent with the present system of selective supply which the respond
1031,hospital,13,44,33,spacy,0,non-informative,,,,,"From the injury Report of Harjit Singh (A-1), it is pointed out that he was seriously injured and his condition was serious when he was admitted to the hospital."
1032,expenditure,12,40,33,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Any such computation will have to provide adequately for future explorations, infructuous expenditure, expenditure on modern uptodate machinery and research and above all expenditure that will be necessary to reach the gas to the consumers."
1033,indian penal code,11,33,33,"rake,spacy",1,informative,STATUTE-PROVISION,,RULE,,"Respondent no.2, Manisha Poddar filed a complaint on 08.07.2007 before the Chief Judicial Magistrate, Ranchi under sections 498-A, 406, 341, 323 and 120-B of the Indian Penal Code read with sections 3 and 4 of the Dowry Prohibition Act agai"
1034,appellants,11,33,33,spacy,1,informative,PARTY-ACTOR,,ACTOR,,Appellants Versus State of Jharkhand & Another ....
1035,madras high court,11,33,33,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Of Karnataka & on 19 September, 2011 expired drugs, his wife filed a habeas corpus petition before the Madras High Court."
1036,indian penal,11,33,33,spacy,0,non-informative,,,,,"Section 379, Indian Penal, Code, is one of the; sections, so enumerated and it is specifically provided that the jurisdiction of the Adalat in respect of this offence is only where the theft of the stolen property does not exceed Rs. 50."
1037,resource,10,58,33,spacy,0,non-informative,,,,,These planned profits being no more than a way of mobilising resources and making them available to the community for purposes both of investment and maintenance expenditure.
1038,hereunder,9,34,33,spacy,0,non-informative,,,,,"The details of which are mentioned hereunder: ""1."
1039,advocate general,7,33,33,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"S. M. Sikri, Advocate-General for the State of Punjab, N. S. Bindra and P. D. Menon, for the respondent No. 1. N. S. Bindra and Govind Saran Singh, for respondent No. 2. 1962."
1040,public sector,5,33,33,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Given a favourable area of operation, commercial profits need not be either anathema or forbidden fruit even to public sector enterprises-"
1041,succession act,4,33,33,"spacy,yake",1,informative,STATUTE-PROVISION,SUCCESSION-INHERITANCE,RULE,,"to give effect to the words ""for her and their own use and benefit"", as we must according to the rule of construction embodied in the Succession Act to which reference has been made."
1042,arbitration agreement,4,33,33,"spacy,textacy",1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"Where any party to an arbitration agreement or any person claiming under him commences any legal proceedings against any other party to the agreement or any person claiming under him in respect of any matter agreed to be referred, any party"
1043,registration act,4,33,33,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Author: A.M. Ahmadi Bench: A.M. Ahmadi, M.M. Punchhi, K. Ramaswamy S.V. CHANDRA PANDIAN AND Vs. S.V. SIVALINGA NADAR AND DATE OF JUDGMENT11/01/1993 AHMADI, A.M. (J) AHMADI, A.M. (J) PUNCHHI, M.M. RAMASWAMY, K. CITATION: 1993 (1) 58 1993 (1)"
1044,convention,3,46,33,spacy,0,non-informative,,,,,"A brief reference to those conventions, treaties and IAEA may be apposite."
1045,residue,3,33,33,spacy,0,non-informative,,,,,"Author: A.M. Ahmadi Bench: A.M. Ahmadi, M.M. Punchhi, K. Ramaswamy S.V. CHANDRA PANDIAN AND Vs. S.V. SIVALINGA NADAR AND DATE OF JUDGMENT11/01/1993 AHMADI, A.M. (J) AHMADI, A.M. (J) PUNCHHI, M.M. RAMASWAMY, K. CITATION: 1993 (1) 58 1993 (1)"
1046,immoveable property,3,33,33,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"The learned Single Judge answered the aforesaid contention in paragraph 72 of his judgment as under : ""The learned counsel for the respondents also contended that Award falls under Schedule I Article 12 of the Stamp Act and the allocation o"
1047,sustainable development,2,33,33,spacy,0,non-informative,,,,,"Rule of law in environmental governance seeks to redress this issue as the implementation gap has a direct bearing on the protection of the environment, forests, wildlife, sustainable development, and public health, eventually affecting fun"
1048,united india insurance,2,33,33,"spacy,yake",1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Jacob Punnen vs United India Insurance Co;Ltd on 9 December, Author: S. Ravindra Bhat Bench: K.M. Joseph, S. Ravindra Bhat REPORTABLE IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION CIVIL APPEAL"
1049,pandey ands appeal,1,33,33,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"Pandey andS Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622#4051#P. VENKATARAMA REDDI#Dr."
1050,appropriate commission,1,33,33,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Once this is done, the appropriate Commission is to “adopt” the tariff which is accepted in the competitive bid subject to guidelines that are made by the Central Government."
1051,ands appeal,1,33,33,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"andS 25734 Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh #2003-11-25#25622# 4051#P. VENKATARAMA REDDI # Dr. AR."
1052,2003#2003#bikau pandey ands appeal,1,33,33,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"104-106 of 2003#2003#Bikau Pandey andS Appeal (civil)#Appeal (civil) 4051 of 1996#1996#M/s Pepsi Foods Limited #Collector of Central Excise, Chandigarh"
1053,sanjay gupta,1,33,33,spacy,0,non-informative,,,,,"Sanjay Gupta vs State Of Uttar Pradesh Through Its Chief ... on 12 April, 2022 Author: Hemant Gupta Bench: V. Ramasubramanian, Hemant Gupta REPORTA IN THE SUPREME COURT OF INDIA CIVIL ORIGINAL JURISDICTION WRIT PETITION (CIVIL)"
1054,proof,27,45,32,spacy,0,non-informative,,,,,"Under s. 74 where goods are tendered to a railway administration for carriage at a special reduced rate known as 'the owner's risk rate' then, notwithstanding anything contained in section 73, the railway administration is not to be respons"
1055,passage,23,49,32,spacy,1,informative,PROPERTY-RES,EASEMENT,EVIDENCE,,"Subsequently, however, with the passage of time the price of gas was stepped up by the ONGC in the following manner: Period Amount 1.4.1981 to 31.12.1981 Rs."
1056,avail,22,32,32,spacy,0,non-informative,,,,,The contributories would certainly have suffered and even the offers made by Chunilal and Adhyaru would then have been of no avail.
1057,role,19,52,32,spacy,0,non-informative,ASPECT,,,,There are no specific allegations against the appellants in the complaint and none of the witnesses have alleged any role of both the appellants. 27.
1058,justification,16,37,32,spacy,0,non-informative,,,,,"While the court expressed the view that there was no justification to run a public utility monopoly service undertaking merely as a commercial venture with a view to make profits, the court did not rule out but refrained from expressing any"
1059,court of law,16,32,32,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"If, without any fault of his own, the engineer has put himself in such a position that it is not fitting or decorous or proper that he should act as arbitrator in any one or more of those disputes, the contractor has the right to appeal to "
1060,presumption,15,37,32,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"[829 F] The 'railway did not run any additional risk or liability in acting upon the representation of the appellants and issuing the receipt because, there would be no presumption that the goods put in the wagon were chillies since the rai"
1061,product,14,79,32,spacy,0,non-informative,,,,,May be the cost plus is an ideal basis where the commodity supplied is the product of a monopoly vital to human needs.
1062,school,14,39,32,spacy,0,non-informative,,,,,"Provisions for the assignment of lands to village panchayat for the use of the general community, or for hospitals, schools, manure pits, tanning groups etc. inure for the benefit of rural population must be considered to be an essential pa"
1063,calcutta high court,13,32,32,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Appeal from the judgment and order dated September 13, 1963 of the Calcutta High Court in Income-tax Reference No. 29 of 1959."
1064,tax act,13,32,32,spacy,1,informative,STATUTE-PROVISION,,RULE,,It appears that such sales were treated by the sales tax authorities in the State of Bombay as not falling within the taxing Acts in force in the Bombay State by reason of the provisions of Art.
1065,advice,12,37,32,spacy,0,non-informative,,,,,Majority of the complaints are filed either on their advice or with their concurrence.
1066,industries,11,85,32,spacy,0,non-informative,,,,,"After a series of discussions, the Federation of Gujarat Mills and Industries agreed to a price of Rs. 100 per unit of Ankleswar gas for this supply."
1067,adjustment,11,38,32,spacy,0,non-informative,,,,,"On 5.11.1982, the Division Bench of the High Court, after pointing out the various difficulties and questions raised by the case thought it would be fit and proper to direct the ONGC not to discontinue the supply of gas but to continue to s"
1068,vendor,10,43,32,spacy,1,informative,PARTY-ACTOR,SALE-CONTRACT,ACTOR,,"Out of this consideration, a sum of Rs. 30,000 was paid by the plaintiff firm on behalf of the vendors to a creditor of the latter on 28th October, 1941."
1069,domain,10,37,32,spacy,0,non-informative,,,,,"But the concept of requisition involves merely taking of ""domain or control over property without acquiring rights of ownership"" and must by its very nature be of temporary duration."
1070,potential,9,34,32,spacy,0,non-informative,,,,,From this it was concluded by the Reference Court that the land under acquisiton was surrounded on all four sides by buildings and had a lot of potential for The Special Land Acquisition ... vs Mohd.
1071,bill,9,33,32,spacy,0,non-informative,,,,,"The Bill was designed to contain in one enactment the were of the existing law relative to fees leviable in all Courts of Justice, whereas previously fees were, leviable under various acts."
